年,期,国内総生産(支出側),民間最終消費支出,家計最終消費支出,除く持ち家の帰属家賃,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス_純輸出,財貨・サービス_輸出,財貨・サービス_輸入,開差,交易利得,国内総所得,海外からの所得_純受取,海外からの所得_受取,海外からの所得_支払,国民総所得,国内需要,民間需要,公的需要,総固定資本形成,最終需要
"1994",1-3,"446,305.8","247,535.5","243,652.9","208,606.6","29,812.0","66,259.2","4,229.0","71,357.3","47,098.0",-542.3,"-7,720.2","37,756.0","45,476.1","-11,722.7","19,378.6","465,684.4","4,151.9","14,556.9","10,405.0","469,836.3","462,343.0","346,475.0","115,941.7","139,766.4","442,252.2"
"1994",4-6,"443,741.1","248,757.5","244,818.3","209,570.1","31,118.5","66,065.0","-2,884.5","72,243.7","48,011.9",622.8,"-8,364.3","37,963.8","46,328.1","-11,829.5","18,742.5","462,483.6","3,833.9","14,507.9","10,673.9","466,317.5","460,004.2","341,604.2","118,659.5","141,499.7","445,537.0"
"1994",7-9,"448,941.7","250,618.0","246,656.8","211,191.9","33,628.1","65,999.2",-280.5 ,"72,789.0","46,294.3",806.2,"-9,067.4","38,658.3","47,725.7","-11,845.1","18,142.9","467,084.6","3,830.0","14,757.3","10,927.2","470,914.6","465,724.0","348,123.6","117,728.3","142,080.7","448,137.7"
"1994",10-12,"447,166.0","250,779.4","246,773.4","211,131.3","32,218.2","67,028.9","-1,601.9","72,949.9","45,580.5",853.3,"-9,379.0","38,820.5","48,199.5","-11,263.3","18,529.8","465,695.9","3,870.9","15,284.3","11,413.4","469,566.8","464,005.1","346,878.6","117,252.3","141,344.4","447,576.3"
"1995",1-3,"452,111.3","252,929.3","248,856.3","213,012.0","31,121.5","68,647.7","2,253.7","74,470.4","43,633.6",-27.7,"-10,500.2","39,311.6","49,811.9","-10,417.0","18,955.3","471,066.5","3,987.4","15,636.7","11,649.3","475,053.9","469,828.2","353,607.8","116,207.3","140,426.2","449,533.3"
"1995",4-6,"456,273.3","254,883.3","250,727.6","214,693.2","30,381.5","71,088.0","1,116.7","74,611.2","45,414.1",199.2,"-11,408.7","39,897.6","51,306.3","-10,012.0","19,769.8","476,043.1","3,213.5","14,835.6","11,622.1","479,256.6","474,634.3","356,441.9","118,225.5","144,020.0","454,595.2"
"1995",7-9,"461,705.6","256,355.4","252,125.9","215,910.6","29,741.6","72,334.5","2,105.5","75,543.0","48,917.2",173.1,"-13,893.9","40,273.6","54,167.6","-9,570.6","20,655.0","482,360.6","4,591.1","18,565.6","13,974.5","486,951.6","481,965.2","359,669.7","122,463.0","147,930.6","459,107.5"
"1995",10-12,"462,856.4","258,170.5","253,904.1","217,488.9","30,431.2","73,525.1","1,032.7","75,789.0","49,125.2",235.2,"-16,596.9","40,157.9","56,754.8","-8,855.6","21,317.3","484,173.7","4,902.2","19,219.4","14,317.2","489,075.9","485,111.5","362,306.1","122,953.3","150,008.8","461,222.7"
"1996",1-3,"466,624.0","257,416.5","253,142.9","216,549.3","31,805.6","73,285.0","1,643.0","76,459.0","51,638.1",596.8,"-17,004.5","40,800.5","57,805.0","-9,215.5","20,784.2","487,408.1","5,644.2","11,846.8","6,202.7","493,052.3","489,117.1","363,095.4","126,278.8","153,188.6","464,149.9"
"1996",4-6,"472,490.5","260,509.4","256,231.4","219,409.8","33,278.5","75,804.0","2,978.7","76,391.6","50,910.8",190.8,"-18,807.9","40,751.7","59,559.6","-8,765.5","19,949.9","492,440.4","6,329.1","12,058.0","5,728.9","498,769.6","496,565.4","371,480.6","125,196.8","156,552.1","469,053.1"
